#BJD-2454833	K2SC-EAP   EAP    Err
2384.463871 15450.517 15490.183 9.005
2384.484304 15100.511 15146.211 8.992
2384.504736 14649.945 14701.076 8.976
2384.525169 14263.445 14319.528 8.960
2384.545601 13813.267 13871.890 8.944
2384.566034 13476.350 13538.104 8.929
2384.586466 13476.908 13542.232 8.929
2384.606899 13512.719 13579.349 8.931
2384.627331 13361.116 13429.267 8.926
2384.647764 13120.847 13193.016 8.916
2384.668196 12759.771 12833.819 8.900
2384.688629 12381.651 12456.670 8.885
2384.709061 11858.342 11935.442 8.867
2384.729494 11503.494 11584.064 8.851
2384.749926 11345.988 11431.106 8.846
2384.770359 11998.258 12086.034 8.871
2384.790791 14966.474 15058.364 8.986
2384.811224 19522.812 19618.473 9.162
2384.831656 23419.086 23518.541 9.306
2384.852089 24687.138 24788.543 9.354
2384.872521 23578.256 23680.648 9.312
2384.892954 22036.172 22009.346 9.268
2384.913386 21081.555 21051.689 9.221
2384.933818 19959.596 19930.420 9.181
2384.954251 19018.818 18991.100 9.147
2384.974683 18182.088 18151.807 9.114
2384.995116 17451.014 17420.369 9.083
2385.015548 16810.635 16781.879 9.060
2385.035981 16289.627 16262.774 9.040
2385.056413 15855.889 15834.832 9.024
2385.076846 15494.964 15477.696 9.009
2385.097278 15179.089 15165.844 8.994
2385.117711 14838.055 14830.416 8.981
2385.138143 14439.735 14436.835 8.968
2385.158576 14032.955 14031.882 8.951
2385.179008 13644.265 13642.671 8.934
2385.199441 13379.750 13377.186 8.925
2385.219873 13378.356 13373.884 8.925
2385.240306 13370.612 13367.736 8.925
2385.260738 13267.228 13266.298 8.920
2385.281171 12914.400 12915.828 8.909
2385.301603 12547.780 12550.491 8.893
2385.322035 12068.309 12072.859 8.876
2385.342468 11649.949 11656.481 8.859
2385.362900 11316.801 11327.080 8.846
2385.383333 11328.466 11341.902 8.847
2385.403765 12315.400 12330.736 8.885
2385.424198 16195.268 16212.859 9.038
2385.444630 20111.153 20131.836 9.194
2385.465063 23908.429 23929.912 9.338
2385.485495 24256.730 24279.928 9.349
2385.505928 23002.985 23027.846 9.301
2385.526360 21544.121 21571.719 9.248
2385.546793 20422.227 20450.943 9.203
2385.567225 19320.495 19352.604 9.163
2385.587658 18510.461 18544.645 9.129
2385.608090 17700.928 17737.039 9.099
2385.628523 16968.114 17005.400 9.071
2385.648955 16447.477 16488.037 9.048
2385.669387 15901.995 15945.599 9.029
2385.689820 15504.343 15549.235 9.014
2385.710252 15159.601 15207.571 8.998
2385.730685 14835.529 14884.458 8.985
2385.751117 14522.547 14572.910 8.971
2385.771550 14174.236 14223.981 8.956
2385.791982 13735.235 13785.557 8.939
2385.812415 13322.582 13373.262 8.925
2385.832847 13213.931 13264.140 8.921
2385.853280 13215.018 13266.182 8.921
2385.873712 13199.283 13251.515 8.919
2385.894144 13007.816 13062.070 8.911
2385.914577 12702.902 12760.462 8.897
2385.935009 12252.462 12312.889 8.882
2385.955442 11808.648 11872.584 8.864
2385.975874 11379.183 11446.268 8.848
2385.996307 11157.370 11226.824 8.838
2386.016739 11269.652 11342.812 8.845
2386.037172 12797.935 12874.780 8.902
2386.057604 17338.645 17419.770 9.076
2386.078037 21202.562 21286.600 9.226
2386.098469 24396.087 24482.080 9.338
2386.118901 23995.148 23839.996 9.338
2386.139334 22821.119 22643.777 9.286
2386.159766 21497.615 21323.023 9.237
2386.180199 20360.513 20187.658 9.195
2386.200631 19408.178 19240.592 9.156
2386.221064 18546.473 18383.775 9.121
2386.241496 17757.031 17597.246 9.092
2386.261929 17086.457 16929.352 9.065
2386.282361 16547.397 16393.814 9.043
2386.302793 16086.966 15940.420 9.026
2386.323226 15733.979 15593.411 9.012
2386.343658 15317.480 15180.140 8.998
2386.384523 14481.968 14426.367 8.970
2386.404956 14094.153 14036.192 8.955
2386.425388 13692.416 13633.884 8.938
2386.445821 13315.754 13260.247 8.924
2386.466253 13297.109 13244.631 8.920
2386.486686 13253.216 13204.115 8.921
2386.507118 13206.163 13161.261 8.918
2386.527550 12917.443 12875.404 8.909
2386.547983 12593.653 12554.688 8.894
2386.568415 12181.877 12145.195 8.879
2386.588848 11763.715 11728.793 8.862
2386.609280 11384.369 11355.638 8.847
2386.629713 11211.192 11185.326 8.839
2386.650145 11539.361 11515.245 8.854
2386.670577 13749.926 13728.604 8.942
2386.691010 18333.117 18312.221 9.124
2386.711442 22129.635 22107.949 9.274
2386.731875 24266.504 24246.045 9.353
2386.752307 23380.297 23361.260 9.321
2386.772740 22000.321 21981.793 9.269
2386.793172 20810.207 20793.316 9.223
2386.813604 19669.268 19652.955 9.178
2386.834037 18725.055 18711.123 9.142
2386.854469 17875.171 17863.514 9.110
2386.874902 17209.711 17199.412 9.080
2386.895334 16548.972 16540.676 9.055
2386.915767 16041.036 16035.022 9.035
2386.936199 15656.514 15653.163 9.019
2386.956632 15297.933 15296.545 9.003
2386.977064 14975.033 14975.347 8.991
2386.997496 14629.618 14628.689 8.977
2387.017929 14320.013 14320.134 8.964
2387.038361 13922.320 13925.779 8.948
2387.058794 13503.564 13510.972 8.931
2387.079226 13188.342 13196.708 8.921
2387.099658 13184.621 13195.566 8.919
2387.120091 13186.883 13199.120 8.919
2387.140523 13039.777 13054.221 8.914
2387.160956 12753.556 12769.437 8.903
